NEIGHBOURHOOD_158,REPORT_YEAR,REPORT_MONTH,TotalCrimeScore,Crime_Count,x,y,NSI,Prev_Month_NSI,NSI_3M_Avg
0,2024,11,90,27,-8824081.264877131,5436070.0625453945,0.8141962421711899,0.7995824634655533,0.8350730688935282
0,2024,12,74,21,-8824754.363601651,5435666.733863227,0.8475991649269311,0.8141962421711899,0.8197633959638134
0,2025,1,64,18,-8824750.566492055,5435658.812450237,0.8684759916492693,0.8475991649269311,0.8204592901878914
0,2025,2,47,15,-8824352.916474069,5435653.770228053,0.9039665970772442,0.8684759916492693,0.8434237995824634
0,2025,3,98,29,-8824669.378817298,5435597.598789467,0.7974947807933195,0.9039665970772442,0.8733472512178149
0,2025,4,84,25,-8824584.763517471,5435636.919308127,0.826722338204593,0.7974947807933195,0.8566457898399443
0,2025,5,40,15,-8824028.014547287,5435574.127854442,0.918580375782881,0.826722338204593,0.8427279053583856
0,2025,6,34,11,-8824295.883150727,5435797.735865038,0.9311064718162839,0.918580375782881,0.8475991649269311
0,2025,7,42,18,-8824821.418725751,5435647.6974461125,0.9144050104384134,0.9311064718162839,0.8921363952679192
0,2025,8,67,21,-8824037.431942966,5435627.494680653,0.8622129436325678,0.9144050104384134,0.9213639526791928
0,2025,9,49,17,-8824066.801673861,5435998.174912725,0.8997912317327766,0.8622129436325678,0.9025748086290885
1,2014,4,86,26,-8824793.205711348,5432953.595739031,0.8225469728601252,0.8434237995824635,0.8357689631176061
1,2014,5,79,26,-8823851.838320263,5432590.068669498,0.837160751565762,0.8225469728601252,0.8406402226861518
1,2014,6,64,20,-8824383.720727492,5432539.67492006,0.8684759916492693,0.837160751565762,0.8343771746694503
1,2014,7,80,22,-8824268.362225035,5432372.267656352,0.8350730688935282,0.8684759916492693,0.8427279053583856
1,2014,8,51,16,-8824009.475930378,5432834.039678105,0.8956158663883089,0.8350730688935282,0.8469032707028532
1,2014,9,88,26,-8824226.398718728,5432997.383220343,0.8183716075156576,0.8956158663883089,0.8663883089770353
1,2014,10,52,17,-8824712.87786549,5432113.069484989,0.8935281837160751,0.8183716075156576,0.8496868475991649
1,2014,11,46,15,-8824064.995839478,5432973.003453439,0.906054279749478,0.8935281837160751,0.8691718858733473
1,2014,12,65,19,-8824579.28460391,5432835.660301838,0.8663883089770354,0.906054279749478,0.872651356993737
1,2015,1,61,17,-8824084.784106536,5432616.926898543,0.8747390396659708,0.8663883089770354,0.8886569241475296
1,2015,2,73,21,-8825147.858192036,5432086.384236711,0.8496868475991649,0.8747390396659708,0.882393876130828
1,2015,3,57,16,-8823779.96973985,5432709.564941544,0.8830897703549061,0.8496868475991649,0.8636047320807236
1,2015,4,56,17,-8824350.81319924,5432695.060474093,0.8851774530271399,0.8830897703549061,0.8691718858733473
1,2015,5,111,29,-8823647.246108752,5432614.581114801,0.7703549060542798,0.8851774530271399,0.872651356993737
1,2015,6,50,17,-8824241.212645095,5433047.671342587,0.8977035490605428,0.7703549060542798,0.8462073764787753
1,2015,7,61,20,-8823553.792006273,5432466.268383386,0.8747390396659708,0.8977035490605428,0.8510786360473208
1,2015,8,67,18,-8824646.437090065,5432354.989567823,0.8622129436325678,0.8747390396659708,0.8475991649269311
1,2015,9,36,11,-8824985.116057582,5432118.342992241,0.9269311064718163,0.8622129436325678,0.8782185107863606
1,2015,10,44,12,-8824838.822581923,5432345.381904601,0.9102296450939458,0.9269311064718163,0.8879610299234516
1,2015,11,65,20,-8824540.334493825,5432122.494040452,0.8663883089770354,0.9102296450939458,0.8997912317327766
1,2015,12,98,27,-8824563.346342076,5432350.9657523455,0.7974947807933195,0.8663883089770354,0.9011830201809325
1,2016,1,75,20,-8824043.551434591,5432659.152870225,0.8455114822546973,0.7974947807933195,0.8580375782881001
1,2016,2,52,13,-8823187.996782057,5432924.411018169,0.8935281837160751,0.8455114822546973,0.8364648573416842
1,2016,3,64,18,-8823071.114276208,5432873.496503863,0.8684759916492693,0.8935281837160751,0.8455114822546973
1,2016,4,69,19,-8823091.831564182,5432737.109671773,0.8580375782881002,0.8684759916492693,0.8691718858733473
1,2016,5,74,22,-8823818.571966782,5432810.9298097305,0.8475991649269311,0.8580375782881002,0.8733472512178149
1,2016,6,75,26,-8823645.919654638,5432709.255408263,0.8455114822546973,0.8475991649269311,0.8580375782881001
1,2016,7,77,23,-8823944.21887642,5432400.547497808,0.8413361169102296,0.8455114822546973,0.8503827418232429
1,2016,8,81,24,-8823883.155069068,5432718.899231399,0.8329853862212944,0.8413361169102296,0.8448155880306194
1,2016,9,73,21,-8823953.288481893,5432510.0774449995,0.8496868475991649,0.8329853862212944,0.8399443284620739
1,2016,10,84,24,-8823512.379419113,5432410.932118583,0.826722338204593,0.8496868475991649,0.8413361169102296
1,2016,11,71,19,-8824563.338965692,5432691.794009637,0.8538622129436326,0.826722338204593,0.8364648573416841
1,2016,12,79,22,-8822839.110536836,5432788.150736913,0.837160751565762,0.8538622129436326,0.8434237995824635
1,2017,1,105,27,-8823893.06116173,5432896.146516663,0.7828810020876826,0.837160751565762,0.8392484342379959
1,2017,2,63,21,-8822891.348841783,5432780.332298833,0.8705636743215032,0.7828810020876826,0.8246346555323592
